"journal_name","ISSN","JIF_2022","JCR_abbreviation","eISSN","category","total_citations","JIF_rank","JIF_5_year","JIF_5_year_quartile","JIF_without_self_cites","immediacy_index","journal_frequency"
"CULTURE MEDICINE AND PSYCHIATRY","0165-005X",1.7,"CULT MED PSYCHIAT","1573-076X","ANTHROPOLOGY - SSCI",1515," 30/92 ",1.8,"Q2",1.6,0.4,3
"CURRENT ALLERGY AND ASTHMA REPORTS","1529-7322",5.5,"CURR ALLERGY ASTHM R","1534-6315","ALLERGY - SCIE",3497," 9/28 ",4.9,"Q2",5.4,1,2
"CURRENT ANTHROPOLOGY","0011-3204",2.2,"CURR ANTHROPOL","1537-5382","ANTHROPOLOGY - SSCI",6752," 20/92 ",3.3,"Q1",2.2,0.3,1
"CURRENT CANCER DRUG TARGETS","1568-0096",3,"CURR CANCER DRUG TAR","1873-5576","ONCOLOGY - SCIE",3540," 157/241 ",3.5,"Q3",3,0.7,1
"CURRENT CARDIOLOGY REVIEWS","1573-403X",1.9,"CURR CARDIOL REV","1875-6557","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI",1868," N/A ",3.4,NA,1.7,0.4,1
"CURRENT DIABETES REVIEWS","1573-3998",3.3,"CURR DIABETES REV","1875-6417","ENDOCRINOLOGY & METABOLISM - ESCI",2481," N/A ",3.2,NA,3.3,1,1
"CURRENT DIRECTIONS IN PSYCHOLOGICAL SCIENCE","0963-7214",7.2,"CURR DIR PSYCHOL SCI","1467-8721","PSYCHOLOGY, MULTIDISCIPLINARY - SSCI",16947," 12/147 ",9.2,"Q1",7.1,1.6,1
"CURRENT DRUG METABOLISM","1389-2002",2.3,"CURR DRUG METAB","1875-5453","PHARMACOLOGY & PHARMACY - SCIE",4628," 200/278 ",3.4,"Q2",2.2,0.5,1
"CURRENT DRUG TARGETS","1389-4501",3.2,"CURR DRUG TARGETS","1873-5592","PHARMACOLOGY & PHARMACY - SCIE",6810," 146/278 ",3.5,"Q2",3.2,1,1
"CURRENT EYE RESEARCH","0271-3683",2,"CURR EYE RES","1460-2202","OPHTHALMOLOGY - SCIE",6730," 37/62 ",2.1,"Q3",2,0.5,1
"CURRENT GENE THERAPY","1566-5232",3.6,"CURR GENE THER","1875-5631","GENETICS & HEREDITY - SCIE",1634," 65/171 ",3.7,"Q2",3.5,1.8,1
"CURRENT GENETICS","0172-8083",2.5,"CURR GENET","1432-0983","GENETICS & HEREDITY - SCIE",4002," 108/171 ",2.4,"Q3",2.5,0.6,1
"CURRENT GENOMICS","1389-2029",2.6,"CURR GENOMICS","1875-5488","GENETICS & HEREDITY - SCIE",2609," 101/171 ",3,"Q3",2.6,0.2,1
"CURRENT HISTORY","0011-3530",1.3,"CURR HIST","1944-785X","INTERNATIONAL RELATIONS - SSCI",465," 65/96 ",0.9,"Q4",1.3,1,3
"CURRENT HIV RESEARCH","1570-162X",1,"CURR HIV RES","1873-4251","IMMUNOLOGY - SCIE",955," 156/161 ",1.1,"Q4",0.9,0.1,3
"CURRENT HYPERTENSION REPORTS","1522-6417",5.6,"CURR HYPERTENS REP","1534-3111","PERIPHERAL VASCULAR DISEASE - SCIE",5015," 16/68 ",6.1,"Q1",5.6,0.9,2
"CURRENT MEDICAL RESEARCH AND OPINION","0300-7995",2.3,"CURR MED RES OPIN","1473-4877","MEDICINE, GENERAL & INTERNAL - SCIE",7883," 100/169 ",2.2,"Q3",2.2,0.5,2
"CURRENT MEDICINAL CHEMISTRY","0929-8673",4.1,"CURR MED CHEM","1875-533X","PHARMACOLOGY & PHARMACY - SCIE",21711," 94/278 ",4.6,"Q2",4,1.9,1
"CURRENT MOLECULAR MEDICINE","1566-5240",2.5,"CURR MOL MED","1875-5666","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",3947," 99/136 ",2.3,"Q4",2.4,1.3,1
"CURRENT NEUROVASCULAR RESEARCH","1567-2026",2.1,"CURR NEUROVASC RES","1875-5739","CLINICAL NEUROLOGY - SCIE",1362," 161/212 ",2,"Q4",1.9,0.3,2
"CURRENT OPINION IN CARDIOLOGY","0268-4705",2.3,"CURR OPIN CARDIOL","1531-7080","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE",2808," 97/143 ",2.7,"Q3",2.2,0.7,1
"CURRENT OPINION IN CLINICAL NUTRITION AND METABOLIC CARE","1363-1950",3.1,"CURR OPIN CLIN NUTR","1473-6519","ENDOCRINOLOGY & METABOLISM - SCIE",6460," 97/145 ",4.4,"Q2",2.9,1.2,2
"CURRENT OPINION IN GASTROENTEROLOGY","0267-1379",2.5,"CURR OPIN GASTROEN","1531-7056","GASTROENTEROLOGY & HEPATOLOGY - SCIE",3375," 72/93 ",3.4,"Q3",2.5,1,1
"CURRENT OPINION IN GENETICS & DEVELOPMENT","0959-437X",4,"CURR OPIN GENET DEV","1879-0380","GENETICS & HEREDITY - SCIE",7879," 48/171 ",4.9,"Q1",4,0.8,1
"CURRENT OPINION IN HEMATOLOGY","1065-6251",3.2,"CURR OPIN HEMATOL","1531-7048","HEMATOLOGY - SCIE",3088," 37/79 ",3.1,"Q3",3.1,1.1,1
"CURRENT OPINION IN IMMUNOLOGY","0952-7915",7,"CURR OPIN IMMUNOL","1879-0372","IMMUNOLOGY - SCIE",10494," 39/161 ",7,"Q1",6.9,1.7,1
"CURRENT OPINION IN INFECTIOUS DISEASES","0951-7375",3.9,"CURR OPIN INFECT DIS","1473-6527","INFECTIOUS DISEASES - SCIE",4462," 47/96 ",4.4,"Q2",3.8,0.8,1
"CURRENT OPINION IN LIPIDOLOGY","0957-9672",4.4,"CURR OPIN LIPIDOL","1473-6535","ENDOCRINOLOGY & METABOLISM - SCIE",4434," 45/145 ",4.3,"Q2",4.2,1.1,3
"CURRENT OPINION IN NEPHROLOGY AND HYPERTENSION","1062-4821",3.2,"CURR OPIN NEPHROL HY","1473-6543","PERIPHERAL VASCULAR DISEASE - SCIE",3737," 28/68 ",3.2,"Q2",3,0.9,3
"CURRENT OPINION IN NEUROBIOLOGY","0959-4388",5.7,"CURR OPIN NEUROBIOL","1873-6882","NEUROSCIENCES - SCIE",16590," 50/272 ",6.7,"Q1",5.6,1.6,1
"CURRENT OPINION IN NEUROLOGY","1350-7540",4.8,"CURR OPIN NEUROL","1473-6551","CLINICAL NEUROLOGY - SCIE",6764," 49/212 ",5.8,"Q1",4.8,1.2,2
"CURRENT OPINION IN OBSTETRICS & GYNECOLOGY","1040-872X",2.1,"CURR OPIN OBSTET GYN","1473-656X","OBSTETRICS & GYNECOLOGY - SCIE",2715," 57/85 ",2.6,"Q3",2.1,0.5,1
"CURRENT OPINION IN ONCOLOGY","1040-8746",3.4,"CURR OPIN ONCOL","1531-703X","ONCOLOGY - SCIE",3171," 125/241 ",3.4,"Q3",3.3,0.9,1
"CURRENT OPINION IN OPHTHALMOLOGY","1040-8738",3.7,"CURR OPIN OPHTHALMOL","1531-7021","OPHTHALMOLOGY - SCIE",4739," 15/62 ",4.2,"Q1",3.5,0.7,1
"CURRENT OPINION IN PEDIATRICS","1040-8703",3.6,"CURR OPIN PEDIATR","1531-698X","PEDIATRICS - SCIE",4716," 23/130 ",3.6,"Q1",3.6,0.7,2
"CURRENT OPINION IN PHARMACOLOGY","1471-4892",4,"CURR OPIN PHARMACOL","1471-4973","PHARMACOLOGY & PHARMACY - SCIE",7599," 97/278 ",4.8,"Q2",3.9,1.8,1
"CURRENT OPINION IN PSYCHIATRY","0951-7367",6.9,"CURR OPIN PSYCHIATR","1473-6578","PSYCHIATRY - SCIE",6026," 27/155 ",6.3,"Q1",6.8,1.5,2
"CURRENT OPINION IN PULMONARY MEDICINE","1070-5287",3.3,"CURR OPIN PULM MED","1531-6971","RESPIRATORY SYSTEM - SCIE",3309," 35/66 ",2.9,"Q3",3.3,1.4,1
"CURRENT OPINION IN RHEUMATOLOGY","1040-8711",5.1,"CURR OPIN RHEUMATOL","1531-6963","RHEUMATOLOGY - SCIE",6008," 9/34 ",5.7,"Q1",5,1,1
"CURRENT OPINION IN UROLOGY","0963-0643",2.5,"CURR OPIN UROL","1473-6586","UROLOGY & NEPHROLOGY - SCIE",2182," 51/88 ",2.4,"Q3",2.4,0.7,1
"CURRENT PHARMACEUTICAL BIOTECHNOLOGY","1389-2010",2.8,"CURR PHARM BIOTECHNO","1873-4316","PHARMACOLOGY & PHARMACY - SCIE",4838," 171/278 ",2.8,"Q3",2.7,1.5,1
"CURRENT PHARMACEUTICAL DESIGN","1381-6128",3.1,"CURR PHARM DESIGN","1873-4286","PHARMACOLOGY & PHARMACY - SCIE",21842," 152/278 ",3.4,"Q2",3.1,0.9,1
"CURRENT PROBLEMS IN CANCER","0147-0272",2.6,"CURR PROB CANCER","1535-6345","ONCOLOGY - SCIE",1449," 176/241 ",3.3,"Q3",2.6,0.6,1
"CURRENT PROBLEMS IN CARDIOLOGY","0146-2806",4.2,"CURR PROB CARDIOLOGY","1535-6280","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE",1875," 50/143 ",4.3,"Q2",4.1,1.3,1
"CURRENT PROBLEMS IN SURGERY","0011-3840",4.4,"CURR PROB SURG","1535-6337","SURGERY - SCIE",661," 26/213 ",3.6,"Q1",4.4,0.2,1
"CURRENT PSYCHOLOGY","1046-1310",2.8,"CURR PSYCHOL","1936-4733","PSYCHOLOGY, MULTIDISCIPLINARY - SSCI",11031," 56/147 ",2.8,"Q2",2.5,0.7,1
"CURRENT SCIENCE","0011-3891",1,"CURR SCI INDIA","0011-3891","MULTIDISCIPLINARY SCIENCES - SCIE",13439," 59/73 ",1.1,"Q3",0.9,0.3,1
"CURRENT SOCIOLOGY","0011-3921",2,"CURR SOCIOL","1461-7064","SOCIOLOGY - SSCI",2723," 79/149 ",2.5,"Q2",1.9,0.3,1
"CURRENT THERAPEUTIC RESEARCH-CLINICAL AND EXPERIMENTAL","0011-393X",1.9,"CURR THER RES CLIN E","1879-0313","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI",943," N/A ",2,NA,1.9,0.3,1
"CURRENT TREATMENT OPTIONS IN ONCOLOGY","1527-2729",4.3,"CURR TREAT OPTION ON","1534-6277","ONCOLOGY - SCIE",3162," 92/241 ",4.8,"Q2",4.3,0.9,1
"CURRICULUM INQUIRY","0362-6784",1.7,"CURRICULUM INQ","1467-873X","EDUCATION & EDUCATIONAL RESEARCH - SSCI",1095," 196/269 ",2.2,"Q3",1.4,0.4,1
"CUTIS","0011-4162",1.6,"CUTIS","2326-6929","DERMATOLOGY - SCIE",2083," 55/70 ",1.6,"Q4",1.6,0.5,1
"CVIR Endovascular",NA,1.2,"CVIR ENDOVASC","2520-8934","CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI",330," N/A ",1.3,NA,1.2,0.1,4
"CYTOGENETIC AND GENOME RESEARCH","1424-8581",1.7,"CYTOGENET GENOME RES","1424-859X","GENETICS & HEREDITY - SCIE",2888," 141/171 ",1.4,"Q4",1.6,0.2,1
"CYTOKINE","1043-4666",3.8,"CYTOKINE","1096-0023","IMMUNOLOGY - SCIE",14223," 94/161 ",3.7,"Q3",3.7,1.1,1
"CYTOLOGIA","0011-4545",1,"CYTOLOGIA","0011-4545","GENETICS & HEREDITY - SCIE",1087," 161/171 ",0.6,"Q4",0.4,0.2,1
"CYTOMETRY PART B-CLINICAL CYTOMETRY","1552-4949",3.4,"CYTOM PART B-CLIN CY","1552-4957","MEDICAL LABORATORY TECHNOLOGY - SCIE",1997," 9/29 ",2.9,"Q2",2.3,1.4,3
"CYTOPATHOLOGY","0956-5507",1.3,"CYTOPATHOLOGY","1365-2303","PATHOLOGY - SCIE",1394," 60/76 ",1.4,"Q4",1.1,0.2,2
"CYTOTHERAPY","1465-3249",4.5,"CYTOTHERAPY","1477-2566","HEMATOLOGY - SCIE",7303," 25/79 ",5,"Q2",4.3,1,2
"Cadernos Brasileiros de Terapia Ocupacional-Brazilian Journal of Occupational Therapy","2526-8910",0.8,"CAD BRAS TER OCUP","2526-8910","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",302," N/A ",0.7,NA,0.4,0.2,1
"Cadernos Gestao Publica e Cidadania","1806-2261",0.3,"CAD GEST PUBLICA CID","2236-5710","PUBLIC ADMINISTRATION - ESCI",67," N/A ",0.3,NA,0.2,0.1,1
"Cadernos de Dereito Actual","2340-860X",0.1,"CAD DEREITO ACTUAL","2386-5229","LAW - ESCI",20," N/A ",0.1,NA,0,0,1
"Cadernos de Estudos Linguisticos","0102-5767",0.1,"CAD ESTUD LINGUIST","2447-0686","LANGUAGE & LINGUISTICS - ESCI",61," N/A ",0.1,NA,0.1,0,1
"Cadernos de Letras da UFF","1413-053X",0,"CAD LET UFF","2447-4207","LANGUAGE & LINGUISTICS - ESCI",22," N/A ",0,NA,0,0,1
"Cadernos de Saude Publica","0102-311X",2.8,"CAD SAUDE PUBLICA","1678-4464","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE",7175," 121/207 ",2.5,"Q3",2.6,0.5,2
"Cadernos de Traducao","1414-526X",0.1,"CAD TRADUCAO","2175-7968","LANGUAGE & LINGUISTICS - ESCI",71," N/A ",0.1,NA,0.1,0,1
"Cahiers Quebecois de Demographie","0380-1721",NA,"CAH QUE DEMOGR","1705-1495","DEMOGRAPHY - ESCI",29," N/A ",0.2,NA,NA,NA,1
"Cahiers de Droit","0007-974X",0.1,"CAH DROIT","1918-8218","LAW - ESCI",84," N/A ",0.2,NA,0.1,0,1
"Cahiers des Ameriques Latines","1141-7161",0.1,"CAH AM LAT","2268-4247","AREA STUDIES - ESCI",59," N/A ",0.2,NA,0.1,NA,1
"Calidad de Vida y Salud","1850-6216",0.1,"CALID VIDA SALUD","1850-6216","PSYCHOLOGY, MULTIDISCIPLINARY - ESCI",24," N/A ",0.2,NA,0.1,0,1
"California Archaeology","1947-461X",0.2,"CALIF ARCHAOL","1947-4628","ARCHAEOLOGY - ESCI",60," N/A ",0.5,NA,0.1,0,1
"Cambio-Rivista sulle Trasformazioni Sociali","2239-1118",0.1,"CAMBIO","2239-1118","SOCIOLOGY - ESCI",39," N/A ",0.1,NA,0.1,0,1
"Cambridge International Law Journal","2398-9173",0.7,"CAMB INT LAW J","2398-9181","LAW - ESCI",110," N/A ",0.8,NA,0.7,0.6,1
"Cambridge Journal of Anthropology","0305-7674",1.2,"CAMB J ANTHROPOL","2047-7716","ANTHROPOLOGY - ESCI",327," N/A ",1.3,NA,1.2,0.1,1
"Cambridge Journal of Education","0305-764X",2.3,"CAMB J EDUC","1469-3577","EDUCATION & EDUCATIONAL RESEARCH - SSCI",1685," 140/269 ",2.2,"Q3",2.2,0.2,1
"Cambridge Journal of Regions Economy and Society","1752-1378",4.4,"CAMB J REG ECON SOC","1752-1386","ECONOMICS - SSCI",2377," 71/380 ",6.2,"Q1",4.2,1.7,1
"Cambridge Law Journal","0008-1973",1.5,"CAMB LAW J","1469-2139","LAW - SSCI",542," 59/154 ",1.4,"Q3",1.4,0.1,1
"Cambridge Review of International Affairs","0955-7571",1.4,"CAMB REV INT AFF","1474-449X","INTERNATIONAL RELATIONS - SSCI",1157," 62/96 ",2.3,"Q2",1.3,0.2,3
"Campbell Systematic Reviews",NA,3.2,"CAMPBELL SYST REV","1891-1803","SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI",1242," N/A ",NA,NA,2.5,0.9,1
"Campus Virtuales","2255-1514",4.1,"CAMPUS VIRTUALES","2255-1514","EDUCATION & EDUCATIONAL RESEARCH - ESCI",331," N/A ",2.4,NA,3.4,1.1,1
"Canadian Bulletin of Medical History","0823-2105",0.2,"CAN BULL MED HIST","2371-0179","HISTORY & PHILOSOPHY OF SCIENCE - ESCI",123," N/A ",0.2,NA,0.2,NA,1
"Canadian Ethnic Studies-Etudes Ethniques au Canada","0008-3496",0.7,"CAN ETHN STUD","1913-8253","ETHNIC STUDIES - ESCI",274," N/A ",1.1,NA,0.5,0,1
"Canadian Foreign Policy","1192-6422",0.5,"CANADIAN FOREIGN POL","2157-0817","INTERNATIONAL RELATIONS - ESCI",177," N/A ",0.7,NA,0.5,0,1
"Canadian Geriatrics Journal",NA,3.9,"CAN GERIATR J","1925-8348","GERIATRICS & GERONTOLOGY - ESCI",536," N/A ",2.9,NA,3.9,0.2,1
"Canadian Journal for the Scholarship of Teaching and Learning","1918-2902",0.5,"CAN J SCHOLARSH TEA","1918-2902","EDUCATION & EDUCATIONAL RESEARCH - ESCI",186," N/A ",0.8,NA,0.5,0.1,1
"Canadian Journal of Anesthesia-Journal canadien d anesthesie","0832-610X",4.2,"CAN J ANESTH","1496-8975","ANESTHESIOLOGY - SCIE",6669," 10/35 ",4.2,"Q2",3.9,1.1,1
"Canadian Journal of Applied Linguistics","1481-868X",0.5,"CAN J APPL LINGUIST","1481-868X","LANGUAGE & LINGUISTICS - ESCI",213," N/A ",0.7,NA,0.5,0.2,1
"Canadian Journal of Bioethics-Revue Canadienne de Bioethique",NA,0.3,"CAN J BIOETHICS","2561-4665","MEDICAL ETHICS - ESCI",84," N/A ",0.5,NA,0.2,0.1,1
"Canadian Journal of Career Development","1499-1845",0.7,"CAN J CAREER DEV","1499-1853","PSYCHOLOGY, APPLIED - ESCI",44," N/A ",0.4,NA,0.7,0,1
"Canadian Journal of Communication","0705-3657",0.5,"CAN J COMMUN","1499-6642","COMMUNICATION - ESCI",515," N/A ",1,NA,0.4,0.5,1
"Canadian Journal of Diabetes","1499-2671",2.5,"CAN J DIABETES","2352-3840","ENDOCRINOLOGY & METABOLISM - SCIE",2754," 114/145 ",3.4,"Q3",2.4,0.8,1
"Canadian Journal of Educational Administration and Policy","1207-7798",0.4,"CAN J EDUC ADM POLIC","1207-7798","EDUCATION & EDUCATIONAL RESEARCH - ESCI",164," N/A ",0.6,NA,0.3,0.2,1
"Canadian Journal of Emergency Medicine","1481-8035",2.4,"CAN J EMERG MED","1481-8043","EMERGENCY MEDICINE - SCIE",2175," 14/32 ",2.2,"Q3",2.1,0.8,1
"Canadian Journal of Family and Youth",NA,0.6,"CAN J FAM YOUTH","1718-9748","FAMILY STUDIES - ESCI",78," N/A ",0.5,NA,0.5,0.1,1
"Canadian Journal of Gastroenterology and Hepatology","2291-2789",2.7,"CAN J GASTROENTEROL","2291-2797","GASTROENTEROLOGY & HEPATOLOGY - SCIE",3270," 66/93 ",3.3,"Q3",2.7,0.6,1
"Canadian Journal of Health History","0823-2105",NA,"CAN J HEALTH HIST","2371-0179","HISTORY & PHILOSOPHY OF SCIENCE - ESCI",0," N/A ",NA,NA,NA,0,1
"Canadian Journal of Higher Education","0316-1218",0.7,"CAN J HIGH EDUC","0316-1218","EDUCATION & EDUCATIONAL RESEARCH - ESCI",647," N/A ",1.6,NA,0.6,0,1
"Canadian Journal of Human Sexuality","1188-4517",1.4,"CAN J HUM SEX","2291-7063","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",641," N/A ",1.7,NA,1.1,0.1,1
"Canadian Journal of Infectious Diseases & Medical Microbiology","1712-9532",2.8,"CAN J INFECT DIS MED","1918-1493","INFECTIOUS DISEASES - SCIE",1803," 70/96 ",2.9,"Q3",2.8,0.4,1
"Canadian Journal of Kidney Health and Disease",NA,1.7,"CAN J KIDNEY HEALTH","2054-3581","UROLOGY & NEPHROLOGY - ESCI",1032," N/A ",NA,NA,1.6,0.5,1
"Canadian Journal of Law and Jurisprudence","0841-8209",0.6,"CAN J LAW JURISD","2056-4260","LAW - ESCI",232," N/A ",0.6,NA,0.5,0.1,1
"Canadian Journal of Law and Society","0829-3201",0.7,"CAN J LAW SOC","1911-0227","LAW - ESCI",284," N/A ",0.8,NA,0.7,0.1,1
"Canadian Journal of Nonprofit and Social Economy Research","1920-9355",0.8,"CAN J NONPROFIT SOC","1920-9355","PUBLIC ADMINISTRATION - ESCI",100," N/A ",0.6,NA,0.7,0,1
"Canadian Journal of Nursing Research","0844-5621",2.1,"CAN J NURS RES","1705-7051","NURSING - ESCI",828," N/A ",1.9,NA,2,0.5,1
"Canadian Journal of Occupational Therapy-Revue Canadienne d Ergotherapie","0008-4174",1.8,"CAN J OCCUP THER","1911-9828","REHABILITATION - SCIE",1543," 43/68 ",2.2,"Q3",1.6,0.2,2
"Canadian Journal of Pain-Revue Canadienne de la Douleur","2474-0527",2.4,"CAN J PAIN","2474-0527","CLINICAL NEUROLOGY - ESCI",300," N/A ",2,NA,2.1,0.5,1
"Canadian Journal of Program Evaluation","0834-1516",0.8,"CAN J PROGRAM EVAL","0834-1516","SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI",912," N/A ",0.8,NA,0.6,0.1,1
"Canadian Journal of Respiratory Critical Care and Sleep Medicine","2474-5332",0.8,"CAN J RESP CRIT CARE","2474-5340","RESPIRATORY SYSTEM - ESCI",224," N/A ",0.9,NA,0.7,0.8,1
"Canadian Journal of Rural Medicine","1203-7796",1.1,"CAN J RURAL MED","1488-237X","MEDICINE, GENERAL & INTERNAL - ESCI",220," N/A ",1.1,NA,0.9,0.6,1
"Canadian Journal of School Psychology","0829-5735",2.2,"CAN J SCH PSYCHOL","2154-3984","PSYCHOLOGY, EDUCATIONAL - SSCI",623," 38/60 ",2,"Q4",2.2,0.2,1
"Canadian Journal of Science Mathematics and Technology Education","1492-6156",1.5,"CAN J SCI MATH TECHN","1942-4051","EDUCATION, SCIENTIFIC DISCIPLINES - ESCI",582," N/A ",1.4,NA,1.2,3,1
"Canadian Journal of Speech-Language Pathology and Audiology","1913-2018",0.7,"CAN J SPEECH-LANG PA","1913-2018","REHABILITATION - ESCI",236," N/A ",0.7,NA,0.6,0.1,1
"Canadian Journal of Urology","1195-9479",1.5,"CAN J UROL",NA,"UROLOGY & NEPHROLOGY - SCIE",1161," 73/88 ",1.4,"Q4",1.5,0.2,1
"Canadian Journal of Women and the Law","0832-8781",0.3,"CAN J WOMEN LAW","1911-0235","LAW - ESCI",286," N/A ",1,NA,0.3,0,1
"Canadian Liver Journal",NA,0.6,"CAN LIVER J","2561-4444","GASTROENTEROLOGY & HEPATOLOGY - ESCI",88," N/A ",0.9,NA,0.5,0,1
"Canadian Pharmacists Journal","1715-1635",1.5,"CAN PHARM J","1913-701X","PHARMACOLOGY & PHARMACY - ESCI",763," N/A ",2,NA,1.1,0.5,1
"Canadian Political Science Review","1911-4125",0.3,"CAN POLITICAL SCI RE","1911-4125","POLITICAL SCIENCE - ESCI",58," N/A ",0.2,NA,0.2,0.1,2
"Canadian Respiratory Journal","1198-2241",2.2,"CAN RESPIR J","1916-7245","RESPIRATORY SYSTEM - SCIE",1827," 56/66 ",2.4,"Q4",2.2,0.5,1
"Canadian Review of Sociology-Revue Canadienne de Sociologie","1755-6171",2.7,"CAN REV SOCIOL","1755-618X","SOCIOLOGY - SSCI",813," 47/149 ",2,"Q3",2.4,0.2,1
"Canadian Slavonic Papers","0008-5006",0.4,"CAN SLAVON PAP","2375-2475","ETHNIC STUDIES - ESCI",127," N/A ",0.4,NA,0.3,0.2,1
"Canadian Society of Forensic Science Journal","0008-5030",0.4,"CAN SOC FORENSIC SCI","2332-1660","MEDICINE, LEGAL - ESCI",130," N/A ",0.3,NA,0.4,0.1,1
"Canadian Studies in Population","0380-1489",1.2,"CAN STUD POPUL","1927-629X","DEMOGRAPHY - SSCI",253," 26/30 ",2,"Q3",1,0.3,1
"Cancer & Metabolism",NA,5.9,"CANCER METAB","2049-3002","ONCOLOGY - SCIE",1436," 57/241 ",6.3,"Q1",5.8,1,1
"Cancer Biology & Medicine","2095-3941",5.5,"CANCER BIOL MED","2095-3941","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",3145," 38/136 ",6.1,"Q1",5.3,0.8,2
"Cancer Biomarkers","1574-0153",3.1,"CANCER BIOMARK","1875-8592","ONCOLOGY - SCIE",3701," 149/241 ",3,"Q3",3,1,1
"Cancer Cell International",NA,5.8,"CANCER CELL INT","1475-2867","ONCOLOGY - SCIE",13551," 59/241 ",5.6,"Q2",5.7,1.4,1
"Cancer Communications",NA,16.2,"CANCER COMMUN","2523-3548","ONCOLOGY - SCIE",3572," 15/241 ",14.4,"Q1",15.5,3.3,1
"Cancer Control","1073-2748",2.6,"CANCER CONTROL","1526-2359","ONCOLOGY - SCIE",2540," 176/241 ",3.2,"Q3",2.6,0.5,1
"Cancer Discovery","2159-8274",29.1,"CANCER DISCOV","2159-8290","ONCOLOGY - SCIE",33141," 9/241 ",35.2,"Q1",28.6,12.8,1
"Cancer Drug Resistance",NA,3.7,"CANCER DRUG RESIST","2578-532X","ONCOLOGY - ESCI",917," N/A ",3.7,NA,3.5,1,1
"Cancer Epidemiology","1877-7821",2.6,"CANCER EPIDEMIOL","1877-783X","ONCOLOGY - SCIE",4587," 176/241 ",2.9,"Q3",2.5,0.8,2
"Cancer Genetics","2210-7762",1.9,"CANCER GENET-NY","2210-7770","GENETICS & HEREDITY - SCIE",1473," 129/171 ",2,"Q4",1.8,0.3,2
"Cancer Genomics & Proteomics","1109-6535",2.5,"CANCER GENOM PROTEOM","1790-6245","GENETICS & HEREDITY - SCIE",1594," 108/171 ",3.4,"Q2",2.3,1.1,2
"Cancer Immunology Research","2326-6066",10.1,"CANCER IMMUNOL RES","2326-6074","IMMUNOLOGY - SCIE",12883," 19/161 ",12.1,"Q1",10,2.2,2
"Cancer Informatics",NA,2,"CANCER INFORM","1176-9351","ONCOLOGY - ESCI",876," N/A ",2.4,NA,1.9,0.4,1
"Cancer Management and Research","1179-1322",3.3,"CANCER MANAG RES","1179-1322","ONCOLOGY - SCIE",13689," 135/241 ",3.5,"Q3",3.3,0.5,1
"Cancer Medicine","2045-7634",4,"CANCER MED-US","2045-7634","ONCOLOGY - SCIE",18374," 96/241 ",4.5,"Q2",3.9,0.5,1
"Cancer Nanotechnology","1868-6958",5.7,"CANCER NANOTECHNOL","1868-6966","ONCOLOGY - SCIE",866," 62/241 ",6.9,"Q1",5.6,1,1
"Cancer Prevention Research","1940-6207",3.3,"CANCER PREV RES","1940-6215","ONCOLOGY - SCIE",5720," 135/241 ",3.6,"Q3",3.2,0.8,1
"Cancer Radiotherapie","1278-3218",1.3,"CANCER RADIOTHER","1769-6658","ONCOLOGY - SCIE",1316," 226/241 ",1.1,"Q4",1,0.8,2
"Cancer Reports",NA,1.7,"CANCER REP-US","2573-8348","ONCOLOGY - ESCI",794," N/A ",1.7,NA,1.6,0.2,1
"Cancer Research and Treatment","1598-2998",4.6,"CANCER RES TREAT","2005-9256","ONCOLOGY - SCIE",4229," 89/241 ",4.2,"Q2",4.5,1.6,1
"Cancers",NA,5.2,"CANCERS","2072-6694","ONCOLOGY - SCIE",81774," 72/241 ",5.6,"Q2",4.7,1.1,1
"Cannabis and Cannabinoid Research","2578-5125",3.8,"CANNABIS CANNABINOID","2378-8763","PHARMACOLOGY & PHARMACY - SCIE",1674," 105/278 ",5.3,"Q1",3.5,0.6,1
"Capital Markets Law Journal","1750-7219",0.7,"CAP MARK LAW J","1750-7227","LAW - ESCI",132," N/A ",0.6,NA,0.7,0.1,1
"Capital and Class","0309-8168",1.7,"CAP CL","2041-0980","POLITICAL SCIENCE - ESCI",704," N/A ",1.7,NA,1.5,0.2,2
"Caplletra","0214-8188",0.1,"CAPLLETRA","2386-7159","LANGUAGE & LINGUISTICS - ESCI",72," N/A ",0.3,NA,0.1,0,1
"Caracol","2178-1702",0.1,"CARACOL","2317-9651","LANGUAGE & LINGUISTICS - ESCI",14," N/A ",0.1,NA,0.1,0,1
"Carbon Management","1758-3004",3.1,"CARBON MANAG","1758-3012","ENVIRONMENTAL STUDIES - SSCI",1713," 67/128 ",3.6,"Q2",3,0.4,1
